10 Cc	Rock	http://www.metrolyrics.com/10-cc-lyrics.html
10,000 Maniacs	Rock	http://www.metrolyrics.com/10000-maniacs-lyrics.html
100 Percent	Not Available	http://www.metrolyrics.com/100-percent-lyrics.html
112	Hip-Hop	http://www.metrolyrics.com/112-lyrics.html
1140 Mississippi	Not Available	http://www.metrolyrics.com/1140-mississippi-lyrics.html
12 Stones	Rock	http://www.metrolyrics.com/12-stones-lyrics.html
13 Engines	Rock	http://www.metrolyrics.com/13-engines-lyrics.html
14 Bis	Rock	http://www.metrolyrics.com/14-bis-lyrics.html
16 Bit	Electronic	http://www.metrolyrics.com/16-bit-lyrics.html
16 Horsepower	Rock	http://www.metrolyrics.com/16-horsepower-lyrics.html
16volt	Rock	http://www.metrolyrics.com/16volt-lyrics.html
1910 Fruitgum Company	Pop	http://www.metrolyrics.com/1910-fruitgum-company-lyrics.html
1924	Not Available	http://www.metrolyrics.com/1924-lyrics.html
1985 - Chicago Bears	Not Available	http://www.metrolyrics.com/1985-chicago-bears-lyrics.html
2 4 Family	Pop	http://www.metrolyrics.com/2-4-family-lyrics.html
2 Be 3	Metal	http://www.metrolyrics.com/2-be-3-lyrics.html
2 Brothers On The 4th Floor	Electronic	http://www.metrolyrics.com/2-brothers-on-the-4th-floor-lyrics.html
2 Fabiola	Electronic	http://www.metrolyrics.com/2-fabiola-lyrics.html
2 For Good	Electronic	http://www.metrolyrics.com/2-for-good-lyrics.html
2 Live Crew	Hip-Hop	http://www.metrolyrics.com/2-live-crew-lyrics.html
2 Live Jews	Hip-Hop	http://www.metrolyrics.com/2-live-jews-lyrics.html
2 Shy	Pop	http://www.metrolyrics.com/2-shy-lyrics.html
2 Skinnee Js	Rock	http://www.metrolyrics.com/2-skinnee-js-lyrics.html
2 Unlimited	Electronic	http://www.metrolyrics.com/2-unlimited-lyrics.html
20 Fingers	Pop	http://www.metrolyrics.com/20-fingers-lyrics.html
28 Days	Rock	http://www.metrolyrics.com/28-days-lyrics.html
2gether	Pop	http://www.metrolyrics.com/2gether-lyrics.html
2Pac	Hip-Hop	http://www.metrolyrics.com/2pac-lyrics.html
3 Colours Red	Rock	http://www.metrolyrics.com/3-colours-red-lyrics.html
3 Doors Down	Rock	http://www.metrolyrics.com/3-doors-down-lyrics.html
3 F	Not Available	http://www.metrolyrics.com/3-f-lyrics.html
3 Lions '98	Not Available	http://www.metrolyrics.com/3-lions-98-lyrics.html
3 Minute Hero	Not Available	http://www.metrolyrics.com/3-minute-hero-lyrics.html
3 Piece	Not Available	http://www.metrolyrics.com/3-piece-lyrics.html
3-6 MALLAY	Not Available	http://www.metrolyrics.com/3-6-mallay-lyrics.html
3-O-Matic	Electronic	http://www.metrolyrics.com/3-o-matic-lyrics.html
3. Generation	Rock	http://www.metrolyrics.com/3-generation-lyrics.html
311	Rock	http://www.metrolyrics.com/311-lyrics.html
38 Special	Rock	http://www.metrolyrics.com/38-special-lyrics.html
3G's	Pop	http://www.metrolyrics.com/3gs-lyrics.html
3LW	Pop	http://www.metrolyrics.com/3lw-lyrics.html
3rd Faze	Pop	http://www.metrolyrics.com/3rd-faze-lyrics.html
3rd Storee	Not Available	http://www.metrolyrics.com/3rd-storee-lyrics.html
3T	Pop	http://www.metrolyrics.com/3t-lyrics.html
4 Him	Pop	http://www.metrolyrics.com/4-him-lyrics.html
4 Non Blondes	Rock	http://www.metrolyrics.com/4-non-blondes-lyrics.html
4 P.M.	Pop	http://www.metrolyrics.com/4-pm-lyrics.html
4 Strings	Electronic	http://www.metrolyrics.com/4-strings-lyrics.html
4 The Cause	Pop	http://www.metrolyrics.com/4-the-cause-lyrics.html
40 Below Summer	Rock	http://www.metrolyrics.com/40-below-summer-lyrics.html
45 Grave	Rock	http://www.metrolyrics.com/45-grave-lyrics.html
4Lyn	Rock	http://www.metrolyrics.com/4lyn-lyrics.html
5 Minutes Left	Not Available	http://www.metrolyrics.com/5-minutes-left-lyrics.html
5 Ny	Not Available	http://www.metrolyrics.com/5-ny-lyrics.html
5 Sterne Deluxe	Hip-Hop	http://www.metrolyrics.com/5-sterne-deluxe-lyrics.html
50 Cent	Hip-Hop	http://www.metrolyrics.com/50-cent-lyrics.html
5000 Volts	Pop	http://www.metrolyrics.com/5000-volts-lyrics.html
504 Boyz	Hip-Hop	http://www.metrolyrics.com/504-boyz-lyrics.html
54-40	Rock	http://www.metrolyrics.com/54-40-lyrics.html
5ive	Metal	http://www.metrolyrics.com/5ive-lyrics.html
5th Dimension	Pop	http://www.metrolyrics.com/5th-dimension-lyrics.html
69 Boyz	Hip-Hop	http://www.metrolyrics.com/69-boyz-lyrics.html
7 Mary 3	Rock	http://www.metrolyrics.com/7-mary-3-lyrics.html
7 Seconds	R&B	http://www.metrolyrics.com/7-seconds-lyrics.html
702	Pop	http://www.metrolyrics.com/702-lyrics.html
77s	Rock	http://www.metrolyrics.com/77s-lyrics.html
8 Ball	Hip-Hop	http://www.metrolyrics.com/8-ball-lyrics.html
8 Stops 7	Rock	http://www.metrolyrics.com/8-stops-7-lyrics.html
88 Fingers Loui	Rock	http://www.metrolyrics.com/88-fingers-loui-lyrics.html
883	Rock	http://www.metrolyrics.com/883-lyrics.html
9 Days	Rock	http://www.metrolyrics.com/9-days-lyrics.html
